customer_id;age;gender;subscription_type;watch_hours;last_login_days;region;device;monthly_fee;payment_method;number_of_profiles;avg_watch_time_per_day;favorite_genre
a9z75100-82a8-427a-a208-72f24052884a;51;Other;Basic;14,73;29;Africa;TV;8,99;Gift Card;1;0,49;Action
49a5xfx9-7e69-4022-a6ax-0a1z9767fz5z;47;Other;Standard;0,7;19;Europe;Mobile;13,99;Gift Card;5;0,03;Sci-Fi
4x71f6ye-fya9-4ff7-8afa-197ay24xe14z;27;Female;Standard;16,32;10;Asia;TV;13,99;Crypto;2;1,48;Drama
x3y72y38-631z-4f9e-8a0e-xe103yax1a7x;25;Female;Premium;6,38;23;South America;TV;17,99;Gift Card;5;0,27;Drama
4e265y34-103a-4xzz-9553-76y9aa47e946;28;Other;Premium;7,1;11;North America;Laptop;17,99;Crypto;3;0,59;Horror
x8079475-5ze7-47e9-8782-yez7ff61395e;36;Male;Premium;11,31;7;North America;TV;17,99;PayPal;3;1,41;Action
8e63450a-13x6-4e83-zzz5-6aezxe9152yz;33;Other;Basic;3,84;28;South America;Mobile;8,99;Credit Card;3;0,13;Horror
02387681-8y42-462a-807a-xe0168y73z38;21;Male;Standard;10,63;4;Oceania;Tablet;13,99;Gift Card;1;2,13;Comedy
0zyaax0y-545y-4ee1-85a6-75e165f39361;24;Female;Standard;0,02;35;Africa;Tablet;13,99;PayPal;3;0;Documentary
eae6439e-8yxf-4258-az49-y493925z927a;68;Female;Premium;9,66;27;Africa;TV;17,99;Credit Card;5;0,35;Sci-Fi
45a03ye3-26x0-4yx5-a9zx-22x42490z612;70;Female;Premium;0,36;15;Oceania;TV;17,99;Gift Card;5;0,02;Sci-Fi
9xf43ax1-x6ee-44x0-a79z-y8az444f10zf;68;Male;Basic;7,63;23;North America;Tablet;8,99;Debit Card;4;0,32;Drama
4690zf9y-z828-44x3-zxz6-f91z10668288;41;Female;Standard;6,47;32;Africa;TV;13,99;Gift Card;4;0,2;Drama
0aay0e54-7x40-4yf2-aze4-45f3ff73f5ff;58;Other;Premium;26,32;18;Asia;Mobile;17,99;PayPal;4;1,39;Documentary
e2a75072-5f48-47ex-a533-ez1z0301aax9;38;Female;Standard;7,34;56;Europe;TV;13,99;Gift Card;4;0,13;Romance
25xz8257-f409-4ayx-81f8-99629fzf15a0;33;Male;Basic;8,19;53;Europe;TV;8,99;Credit Card;1;0,15;Comedy
zf48551e-a8e6-4fx9-zz32-3f798ex84680;19;Female;Premium;11,05;5;Oceania;TV;17,99;Gift Card;1;1,84;Romance
3819aaex-zex6-49y8-az53-0fx9x917e4e1;65;Other;Basic;1,05;51;Africa;Mobile;8,99;Gift Card;2;0,02;Sci-Fi
e2f28860-44e4-4fy2-a445-014332e7fz11;66;Male;Standard;27,5;32;Africa;Mobile;13,99;Gift Card;3;0,83;Romance
a088x61x-ze5a-409e-z943-73z145z358x1;28;Male;Basic;9,85;46;North America;Desktop;8,99;Gift Card;5;0,21;Drama
109yy416-0a22-4y41-93e9-2y7xx24xxx3f;66;Female;Premium;5,22;28;Asia;Desktop;17,99;Crypto;5;0,18;Action
a8y8xyff-92x3-4a79-849x-42y6e6zzy7zy;21;Female;Basic;19,14;28;North America;Desktop;8,99;Crypto;2;0,66;Comedy
8071y1ze-1197-49a1-aa75-5fz6a6z3087a;23;Other;Basic;10,73;35;Europe;Tablet;8,99;Credit Card;5;0,3;Comedy
98z7y57x-1094-45xx-zz45-x9zz8xff9z83;30;Male;Standard;5,1;9;North America;TV;13,99;PayPal;5;0,51;Comedy
18ze905y-203f-4xe2-8e78-ef10061fy57f;36;Other;Basic;16,65;36;Oceania;Tablet;8,99;Debit Card;2;0,45;Documentary
z7y1zxax-yafz-4586-a15x-fy9ff30a8115;32;Other;Premium;45,98;45;Asia;Desktop;17,99;Crypto;1;1;Comedy
6e061f35-z1z5-4efe-9e37-f40a14x929z1;18;Male;Standard;20,65;19;North America;Tablet;13,99;Crypto;4;1,03;Sci-Fi
8y2x377z-f6ey-44z5-ae08-3660y4358a93;40;Male;Basic;10,98;28;South America;Mobile;8,99;Debit Card;1;0,38;Action
afyy5y55-a3x8-4e2f-az95-3x34f5e0390x;28;Male;Standard;1,78;35;South America;Mobile;13,99;Debit Card;3;0,05;Action
2211z077-0300-4e0y-834y-e7751a45ez96;32;Male;Premium;4,11;45;Asia;Laptop;17,99;Credit Card;5;0,09;Action
8x755725-4f16-4006-zxae-fa3xy9fa2579;20;Other;Standard;21,21;0;North America;Mobile;13,99;Crypto;2;21,21;Drama
y39a5943-fe7y-46ey-8x3y-2a24az46733z;67;Female;Premium;15,45;46;Africa;Desktop;17,99;Gift Card;5;0,33;Comedy
e62x9zy8-xaz9-42e0-z6z2-e8x076fe843z;31;Male;Premium;12;2;Europe;Mobile;17,99;Credit Card;2;4;Comedy
7a89x8z6-28ey-4z0y-9x3z-88e0a5119e3z;19;Other;Premium;1,44;40;South America;TV;17,99;Gift Card;5;0,04;Comedy
y8648f0f-0z92-4445-a3a7-5y48711yzy07;47;Other;Standard;8,67;41;North America;Laptop;13,99;PayPal;2;0,21;Sci-Fi
eze928a7-xe65-4567-z349-06056z35e6a6;28;Female;Premium;27,06;55;North America;Tablet;17,99;Debit Card;4;0,48;Action
8z3597af-7xa9-405x-9815-60x1e4xze2e5;22;Female;Premium;7,24;30;Oceania;Tablet;17,99;PayPal;2;0,23;Romance
839ey473-5f41-4a8z-955a-ey14z3a9yax4;29;Male;Premium;63,39;37;North America;Tablet;17,99;Gift Card;4;1,67;Comedy
yxf4012x-14z0-41x5-az40-yy6627fe1e3z;63;Male;Basic;1,44;26;Europe;Mobile;8,99;Debit Card;1;0,05;Documentary
aa97x1a3-y4ax-4y76-zx2a-56f1z46a753y;42;Other;Premium;4,26;6;North America;Tablet;17,99;Crypto;5;0,61;Horror
6eax42f9-86x8-4y66-z2fy-3x791323186x;68;Female;Standard;15,06;20;North America;Mobile;13,99;Gift Card;1;0,72;Romance
9235x289-6x46-46za-a48a-1yf4ea18z599;48;Male;Standard;29,96;44;Europe;Laptop;13,99;Crypto;5;0,67;Sci-Fi
20529e32-x3e7-4yfy-8210-z6468yxze2a4;45;Female;Premium;8,05;54;Africa;TV;17,99;Crypto;3;0,15;Action
zfe7729e-7x5x-4850-z496-51e891158836;57;Male;Standard;3,51;50;Oceania;Laptop;13,99;Credit Card;1;0,07;Documentary
783y7652-37z8-4ze0-z8zy-fz51zx4z5578;63;Male;Basic;2,51;31;Europe;Laptop;8,99;Debit Card;3;0,08;Comedy
2117z36a-9e3e-4077-ay5z-03540zz38461;32;Female;Premium;1,8;32;South America;Mobile;17,99;PayPal;2;0,05;Romance
yeey2y10-9770-48x1-8366-344fa66195z1;70;Male;Standard;28,32;3;Asia;Tablet;13,99;Debit Card;3;7,08;Action
854z2zfx-6773-413f-z385-02338fa3a316;48;Female;Standard;4,19;0;Europe;Tablet;13,99;Gift Card;2;4,19;Documentary
ee53ze31-fz36-41x9-8ez2-1a4y1x976552;66;Other;Standard;0,76;44;Europe;Tablet;13,99;Gift Card;2;0,02;Action
y9y8202y-992y-4e6y-z04f-0e2961ea87yy;38;Male;Standard;0,61;9;North America;Mobile;13,99;Credit Card;4;0,06;Documentary
022f9y7a-8276-494a-8629-086ax5e81xf1;67;Female;Premium;27,79;28;Oceania;TV;17,99;Crypto;4;0,96;Action
1a0f21z6-454a-4a22-88a8-5045z9x00fa4;61;Female;Premium;16,13;21;Europe;Tablet;17,99;Crypto;3;0,73;Documentary
616199ex-33y4-4ff5-9450-251fy608x3a1;32;Other;Premium;24,87;41;North America;Tablet;17,99;Gift Card;5;0,59;Sci-Fi
x1593z1x-ef59-4x4a-a169-5ff338z8zaef;23;Female;Standard;29,18;36;Oceania;TV;13,99;Debit Card;1;0,79;Documentary
749z69f5-8a24-428a-880y-86057af2a485;30;Other;Premium;11,65;21;Africa;Laptop;17,99;Credit Card;5;0,53;Romance
a2eaz47y-xy4y-427f-88f8-755051z303fz;23;Male;Premium;6,55;27;Oceania;Laptop;17,99;PayPal;3;0,23;Romance
z313f39x-0675-4zef-9z10-573146872axf;20;Other;Standard;0,52;29;Asia;TV;13,99;Debit Card;1;0,02;Romance
09a76zy9-4048-4403-8087-a31yxz16556e;40;Female;Basic;7,31;3;Africa;Tablet;8,99;Debit Card;1;1,83;Action
af9z0f0x-9532-48f2-ax24-zf41faa164a6;28;Female;Basic;35,03;37;Asia;Desktop;8,99;Credit Card;4;0,92;Comedy
ey202012-e4zf-4z14-z5fe-4447x8yfz730;24;Female;Basic;9,03;52;South America;Mobile;8,99;Crypto;1;0,17;Documentary
8y78z61z-0x41-4470-axe0-3ex2e2z36y28;54;Other;Premium;14,2;6;Europe;Laptop;17,99;Crypto;5;2,03;Romance
xa57899f-77z4-4z23-zyaz-700xz438f6x1;25;Female;Standard;8,01;20;South America;Laptop;13,99;Credit Card;4;0,38;Sci-Fi
361aff57-8a5f-4229-z4f5-f52544178xy7;35;Other;Basic;9,58;13;North America;Mobile;8,99;Debit Card;1;0,68;Horror
900034x1-e7xe-4e99-914e-4ax863061834;30;Female;Basic;0,36;60;Africa;Laptop;8,99;Debit Card;3;0,01;Drama
6082e011-4f6x-4ayz-93f2-3zfefx532880;36;Female;Basic;22,91;0;Asia;TV;8,99;Crypto;1;22,91;Drama
4y7x404a-ezx5-4881-9fz5-302ax47f2fz8;68;Female;Standard;18,49;11;South America;Mobile;13,99;Gift Card;1;1,54;Drama
33146637-8x6z-4a63-z0ze-65y67a894825;29;Other;Basic;4,67;5;South America;Laptop;8,99;PayPal;3;0,78;Sci-Fi
746yea20-f12a-4z78-900x-fe19z5eaf91x;39;Female;Premium;17,14;3;Asia;Mobile;17,99;Credit Card;5;4,29;Comedy
44361538-0ea0-4z91-zef5-4y5af2xy15zx;61;Female;Premium;26,79;34;Africa;TV;17,99;Credit Card;4;0,77;Sci-Fi
05e8a643-0a5y-4413-ae75-a4xyxyyf9y62;56;Female;Basic;0,97;33;Asia;Mobile;8,99;Debit Card;4;0,03;Horror
85z74247-a98z-47z1-91za-8z7xz3y3662y;61;Other;Premium;0,25;1;North America;Desktop;17,99;PayPal;2;0,12;Sci-Fi
aaf3513z-97y7-46fa-z889-0x78y2ya0ze7;22;Other;Basic;13,16;6;Europe;Tablet;8,99;Debit Card;4;1,88;Comedy
62x2ya00-38a2-4f3z-a517-e212fz24e26e;49;Female;Basic;4,49;57;South America;Tablet;8,99;Crypto;5;0,08;Documentary
005z6afy-yff9-432f-ae0e-265x9ayz5a59;21;Other;Premium;6,28;3;South America;Laptop;17,99;Crypto;4;1,57;Documentary
4xzzy3f7-6exe-48ax-zf36-84y7e9188e3y;58;Female;Basic;16,81;1;Europe;TV;8,99;Gift Card;2;8,4;Horror
